Age,Gender,English,Model,Personality condition,Condition,Own personality,Condition and own personality,Personality matching,Extraversion,Fluency,Godspeed anthropomorphism,Godspeed likeability,Godspeed safety,RoSAS warmth,RoSAS discomfort
19,female,high,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,5.6,6.0,1.8,2.8,3.0,1.3333333333333333,2.8333333333333335
32,female,high,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,3.5999999999999996,2.6666666666666665,2.0,3.0,3.3333333333333335,1.3333333333333333,2.3333333333333335
22,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.0999999999999996,5.666666666666667,4.0,5.0,2.3333333333333335,2.8333333333333335,0.16666666666666666
23,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.3999999999999995,4.333333333333333,3.0,3.4,2.3333333333333335,1.6666666666666667,1.5
39,male,high,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.5,5.0,2.6,3.4,2.6666666666666665,2.1666666666666665,2.0
18,female,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,4.3,4.333333333333333,1.4,4.8,3.0,1.5,0.8333333333333334
32,female,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,2.8000000000000003,6.0,2.6,3.0,3.0,1.3333333333333333,2.6666666666666665
30,female,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.4,6.0,3.6,5.0,3.0,2.1666666666666665,0.3333333333333333
21,female,high,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,2.8000000000000003,6.0,1.4,1.6,1.6666666666666667,0.8333333333333334,2.3333333333333335
23,female,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,1.6999999999999997,6.0,1.2,2.6,2.0,0.0,0.0
21,female,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,4.2,5.333333333333333,1.6,2.4,2.6666666666666665,0.5,2.6666666666666665
22,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.5999999999999996,6.0,1.6,3.4,3.0,1.5,1.8333333333333333
38,female,high,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,5.0,2.6666666666666665,1.6,4.0,3.0,2.0,0.3333333333333333
22,female,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.2,5.666666666666667,2.8,5.0,3.0,2.6666666666666665,1.1666666666666667
20,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.5999999999999996,6.0,3.2,3.2,2.0,0.16666666666666666,1.8333333333333333
30,female,high,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,4.1,4.0,1.2,2.2,3.0,1.0,3.1666666666666665
26,female,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,4.6,5.333333333333333,1.6,3.8,2.6666666666666665,2.1666666666666665,1.3333333333333333
40,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.0,6.0,2.8,3.8,2.3333333333333335,2.3333333333333335,0.8333333333333334
22,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.5,5.333333333333333,1.8,4.8,1.6666666666666667,2.1666666666666665,0.16666666666666666
24,female,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,3.4,4.333333333333333,1.2,2.8,3.0,0.8333333333333334,2.6666666666666665
20,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.4,3.6666666666666665,3.0,3.4,3.0,2.3333333333333335,0.5
28,female,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,3.9,5.333333333333333,2.0,3.4,2.3333333333333335,1.6666666666666667,1.6666666666666667
20,female,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.4,5.333333333333333,2.8,4.2,2.3333333333333335,2.1666666666666665,2.0
25,female,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,3.3,2.0,1.4,2.4,2.3333333333333335,1.3333333333333333,2.1666666666666665
38,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,4.4,6.0,2.0,3.2,2.6666666666666665,1.1666666666666667,2.0
